"id","complex.systems","health","crime","statistics","remote.sensing","political.sciences","traffic.modeling","biology","cognitive.sciences","spatial.analysis","GIS","biogeography","environnment","economy","physical.geography"
"1",2889,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0
"2",4056,0.133333333333333,0,0,0,0,0.133333333333333,0,0,0.0666666666666667,0,0.533333333333333,0,0,0.0666666666666667,0.0666666666666667
"3",5265,0.5,0,0,0.0416666666666667,0,0.166666666666667,0,0.0416666666666667,0,0,0,0.0833333333333333,0.125,0.0416666666666667,0
"4",2420,0.176470588235294,0,0,0,0.0588235294117647,0.647058823529412,0,0,0,0.0588235294117647,0,0,0,0.0588235294117647,0
"5",22818,0,0,0,0,0.133333333333333,0.0666666666666667,0,0,0,0.0666666666666667,0.0666666666666667,0.4,0.133333333333333,0.0666666666666667,0.0666666666666667
"6",21123,0.09375,0.09375,0,0,0,0.3125,0.03125,0,0,0.03125,0.0625,0.0625,0.0625,0.15625,0.09375
"7",1170,0.0689655172413793,0,0,0,0.0344827586206897,0.586206896551724,0.0344827586206897,0.0689655172413793,0,0,0,0.137931034482759,0,0,0.0344827586206897
"8",22270,0,0,0,0,0,0.761904761904762,0,0,0,0.0476190476190476,0,0,0,0.0476190476190476,0.142857142857143
"9",4004,0.117647058823529,0,0,0.0588235294117647,0.235294117647059,0.235294117647059,0,0,0,0,0,0,0,0.235294117647059,0.117647058823529
"10",5034,0,0,0,0,0,0.125,0,0,0,0.875,0,0,0,0,0
"11",148,0.142857142857143,0,0,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0,0.285714285714286,0,0,0.142857142857143,0,0
"12",22563,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0
"13",129,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"14",8002,0.391304347826087,0.0434782608695652,0,0,0,0.173913043478261,0,0,0,0,0,0.0869565217391304,0.0869565217391304,0,0.217391304347826
"15",25110,0,0,0,0,0.1,0.8,0,0,0,0.1,0,0,0,0,0
"16",24751,0.0416666666666667,0.0416666666666667,0,0,0,0.458333333333333,0,0,0,0,0,0.25,0.0416666666666667,0.0833333333333333,0
"17",25451,0.04,0,0,0,0,0.12,0.04,0,0,0,0,0.4,0,0.08,0.32
"18",3316,0.111111111111111,0,0,0,0,0.222222222222222,0.222222222222222,0,0,0.111111111111111,0,0.111111111111111,0,0.222222222222222,0
